epoch,object,raoff,decoff,raoff_err,decoff_err,brightness,brightness_err
0.0,1,-2.030444566227672,-31.48316684934152,0.01,0.01,0.19927358952695526,0.01
7.448979591836735,1,-10.35990627098391,-31.237086551521273,0.01,0.01,0.182968736562955,0.01
14.89795918367347,1,-18.209290994410445,-29.535222252027026,0.01,0.01,0.15872596085752919,0.01
22.346938775510203,1,-25.26400021701634,-26.536089395414468,0.01,0.01,0.1311956585309045,0.01
29.79591836734694,1,-31.31282802711046,-22.472995743399604,0.01,0.01,0.10484487031152681,0.01
37.244897959183675,1,-36.25033445121592,-17.606038295763998,0.01,0.01,0.08243062273917146,0.01
44.69387755102041,1,-40.05724618685688,-12.184835795267881,0.01,0.01,0.06478580805188781,0.01
52.142857142857146,1,-42.773419883447886,-6.427699851537396,0.01,0.01,0.05150459139150028,0.01
59.59183673469388,1,-44.47332830628012,-0.5145098802068464,0.01,0.01,0.041712429787326616,0.01
67.04081632653062,1,-45.2479303221001,5.4120828757100785,0.01,0.01,0.03452695626193172,0.01
74.48979591836735,1,-45.19293376932057,11.241651130195262,0.01,0.01,0.029230981995683126,0.01
81.93877551020408,1,-44.40198346248642,16.889975348661622,0.01,0.01,0.02529378255012842,0.01
89.38775510204081,1,-42.96316233244765,22.293387927757003,0.01,0.01,0.022338848848085086,0.01
96.83673469387755,1,-40.95753378694795,27.4039918908924,0.01,0.01,0.020103391574170796,0.01
104.28571428571429,1,-38.458856333713854,32.185835939819675,0.01,0.01,0.018404513535446008,0.01
111.73469387755102,1,-35.533923668275996,36.61194666022915,0.01,0.01,0.017114462706020295,0.01
119.18367346938776,1,-32.24320500228747,40.662064675052456,0.01,0.01,0.01614351009405088,0.01
126.63265306122449,1,-28.64160126240655,44.32093352616395,0.01,0.01,0.015428380454015447,0.01
134.08163265306123,1,-24.7792181180361,47.57701227337136,0.01,0.01,0.014924503366213059,0.01
141.53061224489795,1,-20.702106749210497,50.42150905052121,0.01,0.01,0.01460083750642211,0.01
148.9795918367347,1,-16.452951665611664,52.847656731619765,0.01,0.01,0.014436424433116993,0.01
156.42857142857142,1,-12.071700539475923,54.85017155643806,0.01,0.01,0.014418117789122562,0.01
163.87755102040816,1,-7.596139259526966,56.424851054572876,0.01,0.01,0.014539130228028675,0.01
171.3265306122449,1,-3.0624198936075957,57.56827941402623,0.01,0.01,0.01479817120781318,0.01
178.77551020408163,1,1.494450097678864,58.277617946013564,0.01,0.01,0.015199036496005887,0.01
186.22448979591837,1,6.040145982948781,58.5504646790192,0.01,0.01,0.015750570386349423,0.01
193.6734693877551,1,10.540582678241925,58.38477372083272,0.01,0.01,0.01646696516792797,0.01
201.12244897959184,1,14.961479697327594,57.77882914552001,0.01,0.01,0.01736839571232896,0.01
208.57142857142858,1,19.267925067766708,56.73127286113928,0.01,0.01,0.018482014823822227,0.01
216.0204081632653,1,23.423928043857796,55.241190444784515,0.01,0.01,0.019843358755059704,0.01
223.46938775510205,1,27.39195322286093,53.30826334987491,0.01,0.01,0.02149823318357278,0.01
230.91836734693877,1,31.132426629946607,50.93300220131469,0.01,0.01,0.02350516302395521,0.01
238.3673469387755,1,34.60320825853905,48.1170826951552,0.01,0.01,0.025938489461151532,0.01
245.81632653061226,1,37.759027443312306,44.863815277809636,0.01,0.01,0.0288921671067878,0.01
253.26530612244898,1,40.5508834873243,41.178792218692564,0.01,0.01,0.03248422625054861,0.01
260.7142857142857,1,42.92542427892165,37.07077229359733,0.01,0.01,0.03686167168101645,0.01
268.16326530612247,1,44.82433395793049,32.55288503201874,0.01,0.01,0.04220521500976293,0.01
275.61224489795916,1,46.18379240750832,27.64426400308317,0.01,0.01,0.04873257118212507,0.01
283.0612244897959,1,46.93412308844032,22.372251089683036,0.01,0.01,0.056697945417407816,0.01
290.51020408163265,1,46.999834599756234,16.77534636435306,0.01,0.01,0.0663836262847119,0.01
297.9591836734694,1,46.30040355589213,10.907097157607486,0.01,0.01,0.07807713791090173,0.01
305.40816326530614,1,44.752362673405905,4.841092187865314,0.01,0.01,0.09202417534032614,0.01
312.85714285714283,1,42.27355918161739,-1.322917002975856,0.01,0.01,0.1083439957164953,0.01
320.3061224489796,1,38.79079878473025,-7.452132152665452,0.01,0.01,0.12689197677700054,0.01
327.7551020408163,1,34.252321997634226,-13.374250695844967,0.01,0.01,0.1470596619832807,0.01
335.2040816326531,1,28.64623097641178,-18.87406748772458,0.01,0.01,0.16753007854428792,0.01
342.6530612244898,1,22.024271276603052,-23.697701013928686,0.01,0.01,0.18607760190277478,0.01
350.1020408163265,1,14.526381632979637,-27.57032588531919,0.01,0.01,0.19962061871025694,0.01
357.55102040816325,1,6.39561988949117,-30.23136802391573,0.01,0.01,0.2048130657243127,0.01
365.0,1,-2.0304445662276636,-31.48316684934152,0.01,0.01,0.19927358952695526,0.01
