epoch,object,raoff,decoff,raoff_err,decoff_err,brightness,brightness_err
0.0,1,-2.030444566227672,-31.48316684934152,0.01,0.01,0.19927358952695526,0.01
2.6206896551724137,1,-4.992473221428301,-31.56800312829253,0.01,0.01,0.19467668448372655,0.01
5.241379310344827,1,-7.925000866465914,-31.466203241033007,0.01,0.01,0.1888062619216287,0.01
7.862068965517241,1,-10.811074662336853,-31.179837152813647,0.01,0.01,0.18179420911363117,0.01
10.482758620689655,1,-13.634603341233962,-30.712957286668676,0.01,0.01,0.17381084923459267,0.01
13.103448275862068,1,-16.38066118299619,-30.071436336146167,0.01,0.01,0.1650553451676893,0.01
15.724137931034482,1,-19.035731306728614,-29.262749819530068,0.01,0.01,0.15574393701525516,0.01
18.344827586206897,1,-21.587880748425945,-28.29571980518832,0.01,0.01,0.14609723051551068,0.01
20.96551724137931,1,-24.026864787259004,-27.18023753377131,0.01,0.01,0.1363278782108604,0.01
23.586206896551722,1,-26.344164088314983,-25.9269817871926,0.01,0.01,0.12662990051599998,0.01
26.206896551724135,1,-28.53296233889327,-24.547147570329198,0.01,0.01,0.11717059983862017,0.01
28.82758620689655,1,-30.588074838179356,-23.05219642823196,0.01,0.01,0.10808558713905009,0.01
31.448275862068964,1,-32.505839749513164,-21.45363613187042,0.01,0.01,0.0994769635717664,0.01
34.06896551724138,1,-34.28398368262171,-19.76283401400847,0.01,0.01,0.09141428180330738,0.01
36.689655172413794,1,-35.9214722771174,-17.99086526013368,0.01,0.01,0.08393762829303149,0.01
39.310344827586206,1,-37.41835487202883,-16.14839513430969,0.01,0.01,0.07706204991853198,0.01
41.93103448275862,1,-38.77561049505179,-14.24559248792777,0.01,0.01,0.07078258032314673,0.01
44.55172413793103,1,-39.99500054262019,-12.292070906510283,0.01,0.01,0.06507925681147292,0.01
47.172413793103445,1,-41.07893181819849,-10.29685338744228,0.01,0.01,0.05992170154714495,0.01
49.79310344827586,1,-42.030332146442674,-8.26835638106145,0.01,0.01,0.05527302346287888,0.01
52.41379310344827,1,-42.852539620781805,-6.214389243867727,0.01,0.01,0.05109294915016567,0.01
55.03448275862069,1,-43.54920566617038,-4.1421655380512625,0.01,0.01,0.047340199339642404,0.01
57.6551724137931,1,-44.12421147728465,-2.058323081479202,0.01,0.01,0.04397419301702262,0.01
60.275862068965516,1,-44.581596983638384,0.03104985456662987,0.01,0.01,0.040956191741182084,0.01
62.89655172413793,1,-44.92550125259822,2.120384327007096,0.01,0.01,0.038250002752880076,0.01
65.51724137931035,1,-45.16011312748926,4.20459817532966,0.01,0.01,0.035822350667015286,0.01
68.13793103448276,1,-45.28963087492086,6.279062462388404,0.01,0.01,0.033643011448092806,0.01
70.75862068965517,1,-45.31822965378671,8.339567893340146,0.01,0.01,0.03168478407232603,0.01
73.37931034482759,1,-45.2500356952883,10.382291938440758,0.01,0.01,0.029923357797739022,0.01
76.0,1,-45.08910618179016,12.403767170656524,0.01,0.01,0.02833711779015466,0.01
